Place,Neigungswinkel IMU,Neigungswinkel LEICA,Differenz
31_1_Start,0.576021521030269,0.7921759920973676,0.2161544710670985
31_1_End,1.1293348470422844,1.3043601834467133,0.17502533640442897
31_2_Start,1.9331865947108098,2.044984806494593,0.11179821178378302
31_2_End,0.6794552470931405,0.8622576053657288,0.18280235827258828
31_3_Start,0.6734663670318498,0.8181852108898554,0.1447188438580056
31_3_End,1.3725921576846862,60.72544829859129,59.3528561409066
31_4_Start,0.5711628775356437,2.1703830701854367,1.599220192649793
31_4_End,0.28781073009745234,0.2675567654541688,0.02025396464328355
31_5_Start,0.1498101167765708,0.30106097640956736,0.15125085963299656
31_5_End,0.9002036546483536,1.267651850871693,0.36744819622333935
